Customername,ICCP_Win including Unscored & Handshake,ICCP_Loss,ICCP_WIP,Line1,Line2
Vueling (47),0,4663.836905,0,4793,3979
Delta (100),0,5263.15848,0,4793,3979
Swiss (15),0,4997.39718,0,4793,3979
Swiss (15),0,5729.59668,0,4793,3979
Jet Blue (45),0,5345.366865,0,4793,3979
ACG (8),0,5856.037515,0,4793,3979
ALC (26),0,5419.362,0,4793,3979
MEA (11),0,4857.027195,0,4793,3979
Flynas (60),4946.090696,0,0,4793,3979
Tata Sia (13),4689.8325,0,0,4793,3979
Juneyao (28),0,4985.81304,0,4793,3979
Juneyao (28),0,5229.68433,0,4793,3979
China Exp (29),0,5044.1754,0,4793,3979
Jetsmart (70),0,4689.8325,0,4793,3979
Jetsmart (70),0,4898.2695,0,4793,3979
Aegean (50),0,4794.051,0,4793,3979
Aegean (50),0,4794.051,0,4793,3979
ALAFCO (30),5476.38,0,0,4793,3979
ALAFCO (30),5717.985,0,0,4793,3979
CDB (45),5369,0,0,4793,3979
VivaAerobus (41),0,5150.02163,0,4793,3979
Sichuan (8),0,5115.384,0,4793,3979
Peach (10),5061,0,0,4793,3979
Peach (10),5572,0,0,4793,3979
Kuwait (15),5636.13648,0,4751,4793,3979
Macquarie (20),5459,0,0,4793,3979
Frontier (134),0,0,4846.16025,4793,3979
DubaiAerospace (120),0,0,6218.034705,5002,3979
Green Africa (50),0,0,4992.06615,5002,3979
Norwegian (50),0,0,5456.2422,5002,3979
Norwegian (50),0,0,5944.3752,5002,3979
Air France (50),0,0,4738.412,5002,3979
Vietjet (50),0,0,5918.713412,5002,3979
SaudiGulf (10),0,0,5527.74924,5002,
Qatar (50),0,0,5324.77073,5002,
Qatar (50),0,0,5961.09855,5002,
Azul (30),0,0,5222.676143,5002,
GoAir (72),0,0,5205.492182,5002,
Volaris (80),0,0,4846.16025,5002,
Royal Jordanian (6),0,0,5463.147295,5002,
Saudia (35),0,0,5407.513699,5002,
SMBC (20),5572.8,0,0,5002,
SAS (35),0,0,4774.05,5002,
Avolon (20),5100.144,0,0,5002,
COLORFUL GUIZHOU (20),0,0,5527.74924,5002,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
