group,year,bar,bar1,bar2,line1,line2,line3
AAA,2012,106,131,121,16,11,7
AAA,2013,113,182,164,15,19,5
AAA,2014,119,151,121,20,20,6
AAA,2015,120,113,100,15,17,8
AAA,2016,100,129,198,17,17,9
AAA,2017,178,148,104,15,11,7
AAA,2018,142,148,113,20,18,9
BBB,2019,152,121,157,16,16,7
BBB,2020,159,136,159,11,20,8.8
BBB,2021,200,113,134,12,16,9
BBB,2022,115,146,153,11,13,4.5
BBB,2023,116,137,148,17,15,6.7
BBB,2024,127,129,191,13,19,8.6
CCC,2025,133,160,153,13,17,5.8
CCC,2026,135,121,114,15,11,8.6
CCC,2027,129,131,149,17,17,4.8
CCC,2028,164,171,195,18,18,6.7
