year,bar,bar1,bar2,line1,line2,line3,Scored
Acropolis,8898.666075,9000,10000,4793.242162,3978.927337,4096,2017
Air Lease Corporation,10065.45384,,,4793.242162,3978.927337,2601,2017
AirAsia,4765.26282,,,4793.242162,3978.927337,3536,2017
Arkia,5387.091504,,,4793.242162,3978.927337,4221,2017
Avianca,0,,,4793.242162,3978.927337,4172,2017
Aviation Capital Group,0,,,4793.242162,3978.927337,4191,2017
BOC Aviation,36030.34094,,,4793.242162,3978.927337,3710,2017
British Airways,9498.721346,,,4793.242162,3978.927337,3125,2017
Cathay Pacific,5088.296254,,,4793.242162,3978.927337,3138,2017
China Eastern Airlines,4387.125471,,,4793.242162,3978.927337,4112,2017
Delta Air Lines,0,5263.15848,,4793.242162,3978.927337,2443,2017
GECAS,5034.7575,,,4793.242162,3978.927337,3057,2017
Gulf Air,10235.53929,,,4793.242162,3978.927337,4181,2017
Iberia,9498.721346,,,4300,3978.927337,2520,2017
ICBC Leasing,5327.886953,,,4300,3978.927337,3633,2017
Jetstar,4742.296862,,,4300,3978.927337,2411,2017
K5,9164.168263,,,4300,3978.927337,3644,2017
Royal Brunei Airlines,5398.974,,,4300,3978.927337,4479,2017
Spring Airlines,9870.773156,,,4300,4200,3128,2017
STENELLA,20587.89775,,,4300,4200,3248,2017
SWISS,0,10726.99386,,4300,4200,3149,2017
VEB-Leasing,5364.649332,,,4300,4200,3927,2017
VietJet Air,0,,,4300,4200,4344,2017
Vueling Airlines,0,4663.836905,,4300,4200,3406,2017
Aegean Airlines,0,9588.102,,4776.132367,3796.693835,2989,2018
AerCap,10265.50952,,,4776.132367,3796.693835,3721,2018
Air Calin,0,,,4776.132367,3796.693835,2897,2018
Air Lease Corporation,5392.4,5419.362,,4776.132367,3796.693835,3116,2018
ANA-All Nippon Airways,0,,,4776.132367,3796.693835,2531,2018
Aviation Capital Group,5619.537134,5856.037515,,4776.132367,3796.693835,,2018
BOC Aviation,5623.524457,,,4776.132367,3796.693835,,2018
China Aircraft Leasing Company,5808.940506,,,4776.132367,3796.693835,,2018
China Express Airlines,0,5044.1754,,4776.132367,3796.693835,,2018
China Southern Airlines,14526.01524,,,4776.132367,3796.693835,,2018
CIT Group,0,,,4776.132367,3796.693835,,2018
Druk Air,5860.442353,,,4776.132367,3796.693835,,2018
EasyJet,4006.554832,,,4776.132367,3796.693835,,2018
Flynas,4946.090696,,,4776.132367,3796.693835,,2018
Goshawk,6013.764,,,4776.132367,3796.693835,,2018
JetBlue Airways,0,5345.366865,,4776.132367,3796.693835,,2018
JetSMART,0,9588.102,,4776.132367,3796.693835,,2018
Juneyao Air,0,10215.49737,,4776.132367,3796.693835,,2018
Lufthansa,4915.676671,,,4776.132367,3796.693835,,2018
Middle East Airlines,0,4857.027195,,4776.132367,3796.693835,,2018
Pegasus,0,,,4776.132367,3796.693835,,2018
SalamAir,6284.37555,,,4776.132367,3796.693835,,2018
Vistara,4689.8325,,,4776.132367,3796.693835,,2018
Air France,0,,4738.412,5002.390381,,,2019
AirAsia,4797.897309,,,5002.390381,,,2019
Alafco,11194.365,,,5002.390381,,,2019
Avolon,5100.144,,,5002.390381,,,2019
Azul,0,,5222.676143,5002.390381,,,2019
Bamboo,0,,,5002.390381,,,2019
BoComm Leasing,5706.424,,,5002.390381,,,2019
CDB Aviation,5369,,,5002.390381,,,2019
Chengdu Airlines,4833.864,,,5002.390381,,,2019
Dubai Aerospace,0,,6218.034705,5002.390381,,,2019
Flynas,0,,,5002.390381,,,2019
Frontier Airlines,0,,4846.16025,5002.390381,,,2019
GoAir,0,,5205.492182,5002.390381,,,2019
Green Africa,0,,4992.06615,5002.390381,,,2019
IndiGo,10024.78554,,,5002.390381,,,2019
Kuwait Airways,5636.13648,,,5002.390381,,,2019
Macquarie,5459,,,5002.390381,,,2019
Norwegian,0,,11400.6174,5002.390381,,,2019
Peach,10633.72,,,5002.390381,,,2019
Qatar Airways,0,,11285.86928,5002.390381,,,2019
Royal Jordanian,0,,5463.147295,5002.390381,,,2019
SAS,0,,4774.05,5002.390381,,,2019
Saudia,0,,5407.513699,5002.390381,,,2019
SaudiGulf,0,,5527.74924,5002.390381,,,2019
Sichuan Airlines,0,5115.384,,5002.390381,,,2019
Sky Airlines,0,,,5002.390381,,,2019
SMBC Aviation Capital,5572.8,,,5002.390381,,,2019
Tunis Air,0,,,5002.390381,,,2019
VEB-Leasing,5783.58,,,5002.390381,,,2019
VietJet Air,0,,5918.713412,5002.390381,,,2019
Viva Colombia,4775.195772,,,5002.390381,,,2019
VivaAerobus,0,5150.02163,,5002.390381,,,2019
Volaris,0,,4846.16025,5002.390381,,,2019
