Customername,Line1,Line2
Vueling (47),2700,1900
Delta (100),2700,1900
Swiss (15),2700,1900
Swiss (15),2700,1900
Jet Blue (45),2700,1900
ACG (8),2700,1900
ALC (26),2700,1900
MEA (11),2700,1900
Flynas (60),2700,1900
Tata Sia (13),2700,1900
Juneyao (28),2700,1900
Juneyao (28),2700,1900
China Exp (29),2700,1900
Jetsmart (70),2700,1900
Jetsmart (70),2700,1900
Aegean (50),2700,1900
Aegean (50),2700,1900
ALAFCO (30),2700,1900
ALAFCO (30),2700,1900
CDB (45),2700,1900
VivaAerobus (41),2700,1900
Sichuan (8),2700,1900
Peach (10),2700,1900
Peach (10),2700,1900
Kuwait (15),2700,1900
Macquarie (20),2700,1900
Frontier (134),2700,1900
DubaiAerospace (120),3000,1900
Green Africa (50),3000,1900
Norwegian (50),3000,1900
Norwegian (50),3000,1900
Air France (50),3000,1900
Vietjet (50),3000,1900
SaudiGulf (10),3000,
Qatar (50),3000,
Qatar (50),3000,
Azul (30),3000,
GoAir (72),3000,
Volaris (80),3000,
Royal Jordanian (6),3000,
Saudia (35),3000,
SMBC (20),3000,
SAS (35),3000,
Avolon (20),3000,
COLORFUL GUIZHOU (20),3000,
